leagueID,date,home,away,favorite_gap,fg_source,fg_books,home_1h_cornerKicks,home_1h_yellowCards,home_1h_offsides,home_1h_shots_onGoal,home_1h_fouls,home_1h_shots,home_1h_points,home_1h_possessionPercent,home_2h_cornerKicks,home_2h_yellowCards,home_2h_offsides,home_2h_shots_onGoal,home_2h_fouls,home_2h_shots,home_2h_points,home_2h_possessionPercent,home_game_cornerKicks,home_game_yellowCards,home_game_offsides,home_game_shots_onGoal,home_game_fouls,home_game_shots,home_game_points,home_game_possessionPercent,away_1h_cornerKicks,away_1h_yellowCards,away_1h_offsides,away_1h_shots_onGoal,away_1h_fouls,away_1h_shots,away_1h_points,away_1h_possessionPercent,away_2h_cornerKicks,away_2h_yellowCards,away_2h_offsides,away_2h_shots_onGoal,away_2h_fouls,away_2h_shots,away_2h_points,away_2h_possessionPercent,away_game_cornerKicks,away_game_yellowCards,away_game_offsides,away_game_shots_onGoal,away_game_fouls,away_game_shots,away_game_points,away_game_possessionPercent
INTERNATIONAL_SOCCER,2026-06-06,VAN,FIJ,,none,0,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-06,BEL,TUN,0.7647,sgo_fairodds,1,,,,,,,1,,,,,,,,4,,,,,,,,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-06,ARM,KAZ,0.225,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-06,KGZ,PSE,-0.062,sgo_fairodds,1,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-06,ETH,MAW,0.2078,sgo_fairodds,1,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-06,SLE,LBR,0.8091,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-06,IVB,BON,,none,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-06,GIB,CAY,0.745,sgo_fairodds,1,,,,,,,1,,,,,,,,3,,,,,,,,4,,,,,,,,1,,,,,,,,0,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-06,ROU,WAL,0.7483,sgo_fairodds,1,,,,,,,0,,,,,,,,2,,,,,,,,2,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-06,POR,CHI,0.7324,sgo_fairodds,1,,,,,,,0,,,,,,,,2,,,,,,,,2,,,,,,,,0,,,,,,,,1,,,,,,,,1,
